vendor,legal_name,entities,category,federal_tax_classification,tax_address_on_file,contacts,active,spend_all_time,spend_365d,ramp_vendor_uuids
"Medisca, Inc. - AutoPay Net 30",,FL|TN,Medical,,YES,2,yes,772524.29,772524.29,52b81820-11d5-4c21-8c17-2b15738fe57c|0c87939e-a288-4f7c-aac5-f4f03c0ecb9d
"Letco Medical, LLC - Autopay",,FL|TN,General Merchandise,,YES,2,yes,661023.95,661023.95,44fb3b5a-509f-4e1a-bbe6-7d5f4086d334|4c926bb3-a100-423c-8d95-bc59237f47a1
Cosmetic Packaging - AutoPay,,FL|TN|TX,General Merchandise,,,3,yes,370210.28,370210.28,e2059ea0-2cbb-4c7c-a330-50a5d960e928|8150f695-0341-484b-9bc1-2c9a763c9a54|2012fe23-6395-4bda-9f79-1b72ad7effc5
"Life File, LLC - Pay Online",,FL|TN,SaaS / Software,,YES,2,yes,300884.97,300884.97,fd6bf497-95f0-49ab-97f6-4a7d8ba3edff|d1acfc63-d8bc-4e26-aade-a9852c8fa107
ezCater,,FL|TN|TX,Restaurants,,,0,yes,195649.69,195649.69,66635ee8-8b64-46d7-848d-73beb8c702bc|80b5c95a-fec1-4154-8747-5c36c5f24b0b|51373294-5e2e-4742-b9ca-74966441de6e
UPS,,FL|TN|TX,Shipping,,,3,yes,157469.05,157469.05,b4f615b0-e6c7-482f-8d79-48c88e7011a7|daa1eef5-2095-45f7-9abb-90cf2fce49bc|8a9431e2-768f-44a8-a9cd-3c2d3f63453e|82f751db-adf3-487b-8b80-997432af0ce3
Amazon,,FL|TN|TX,General Merchandise,,,1,yes,150081.67,150081.67,e6417369-64ec-479e-a67f-a5f52a3b207e|86971a22-428c-40d6-8668-7497fa3613b0|f4292054-65d3-4898-b05f-406e33832a94
Darmerica LLC - AutoPay,,FL|TN|TX,General Merchandise,,YES,3,yes,135637.00,135637.00,d377dc47-45a7-41a1-ac5c-17dc6fc4e7ac|a69d9c68-d81c-4d98-ba41-365b0feb81d3|61afaf69-949c-46d9-b442-ca7f270a2fff
"Top RX, LLC - AutoPay",,FL|TN,Medical,,YES,2,yes,112403.29,112403.29,3c5b57cb-9b3b-493e-87a3-5f78c12473fa|a7afc559-0125-42f7-a8a9-1034b42ebc1b
Worldwide Express - AutoPay,"Accord Guarantor, LLC",FL|TN|TX,Shipping,LLC_PARTNERSHIP,YES,3,yes,100318.00,100318.00,0930758e-83f6-4a06-ab27-dd4b55f4550a|f273a4c9-70a0-4fb3-9134-48beed0374a8|debb3c21-e2f7-471d-8a95-ba6c21cabef1
