vendor,category,spend_all_time,spend_365d,entities,in_qbo,qbo_1099_flagged,qbo_email
ezCater,Restaurants,195649.69,195649.69,FL|TN|TX,yes,no,
UPS,Shipping,157469.05,157469.05,FL|TN|TX,yes,no,paymentremit@ups.com
Amazon,General Merchandise,150081.67,150081.67,FL|TN|TX,yes,no,
AX Pharmaceutical Corp - Autopay,General Merchandise,96607.50,96607.50,TN,no,no,
EasyPost,Professional Services,86694.79,86694.79,FL|TX,yes,no,
"Kingsway Press, Inc",Advertising,78538.42,78538.42,TN,yes,no,info@kingswaypress.com
Indeed-Ramp,Professional Services,53150.44,53150.44,FL,yes,no,noreply@gmail.com
AX Pharmaceutical Corp-Auto ACH,Medical,51430.00,51430.00,FL,yes,no,info@axpharmaceutical.com
ALIBABA.COM,General Merchandise,50445.00,50445.00,FL|TN,yes,no,bella@double-win.top
Amerisource Receivables,Medical,49338.59,49338.59,TN,yes,no,
Amerisource Bergen LLC - AutoPay,Medical,45125.43,45125.43,FL|TN,yes,no,accountreceivables@cencora.com
ULINE,General Merchandise,44714.34,44714.34,TN|TX,yes,no,
Consolidated Label Co LLC,Office supplies and cleaning,43241.24,43241.24,FL|TN,no,no,
American Airlines,Airlines,29546.59,29546.59,FL|TN|TX,yes,no,
Doordash,Restaurants,25516.43,25516.43,FL|TN|TX,yes,no,
TopRx,General Merchandise,23279.14,23279.14,FL|TX,yes,no,
Sam's Club,General Merchandise,21104.98,21104.98,FL|TN|TX,yes,no,
Hospital Pharmaceutical,General Merchandise,20069.53,20069.53,FL|TX,yes,no,
Walmart,General Merchandise,18823.70,18823.70,FL|TN|TX,yes,no,
Paypal,Fees and Financial institutions,18163.68,18163.68,FL|TN|TX,yes,no,
Linkedin,SaaS / Software,17302.32,17302.32,FL|TN|TX,yes,no,
Spectrum Chemical Mfg. Corp Pay Online,Other,13201.32,13201.32,FL|TN,yes,no,ar@spectrumchemical.com
Hampton Inn,Lodging,13030.65,13030.65,FL|TN|TX,yes,no,
Aloft,Lodging,12544.13,12544.13,FL|TN,yes,no,
"Kingsway Press, Inc Ramp ACH",Advertising,12309.89,12309.89,FL,yes,no,info@kingswaypress.com
Teco-Autopay,Utilities,12254.66,12254.66,FL,yes,no,
eBay,General Merchandise,11667.27,11667.27,FL|TN,yes,no,
Chick-Fil-A,Restaurants,10892.10,10892.10,FL|TN|TX,yes,no,
US Plastics,Charitable donations,10651.59,10651.59,FL,no,no,
Univar- ACH,General Merchandise,10271.47,10271.47,FL,no,no,
