merchant,ramp_category,coded_lines,top_gl,top_acct,agreement_pct,manual_top_gl,manual_lines
Amazon,Books and Newspapers,1887,Suspense,8220,48,Suspense,511
ezCater,Restaurants,560,Client Presentation,6800.10,88,Client Presentation,115
Walmart,General Merchandise,239,Office Expense,6200.80,28,Compound Ingredient Inventory,60
Doordash,Restaurants,234,Client Presentation,6800.10,52,Client Presentation,52
Shell,Fuel and Gas,194,Gas,6200.12,98,Gas,28
Starbucks,Restaurants,184,Client Presentation,6800.10,54,Meals,51
Circle K,Fuel and Gas,105,Gas,6200.12,99,Gas,36
Uber,Taxi and Rideshare,93,Car Rental/Hired Car,6830.10,98,Car Rental/Hired Car,84
Exxon,Fuel and Gas,92,Gas,6200.12,99,Gas,24
Sam's Club,General Merchandise,84,Office Expense,6200.80,61,Meals,11
QuikTrip,Fuel and Gas,76,Gas,6200.12,100,Gas,11
Pura Vida Miami,Restaurants,75,Meals,6800.20,68,Client Presentation,22
Uber Eats,Restaurants,72,Client Presentation,6800.10,71,Client Presentation,22
7-Eleven,Fuel and Gas,70,Gas,6200.12,97,Gas,45
American Airlines,Airlines,67,Airfare/Transportation,6830.05,96,Airfare/Transportation,27
Chick-Fil-A,Restaurants,64,Client Presentation,6800.10,70,Meals,10
NTTA,Travel Misc,62,Parking/Tolls,6200.13,73,Parking/Tolls,45
Nothing Bundt Cakes,Supermarkets and Grocery Stores,62,Meals,6800.20,63,Meals,23
Speedway,Fuel and Gas,53,Gas,6200.12,98,Gas,1
Anthropic,SaaS / Software,50,Software Support Fees,6200.97,86,Software Support Fees,40
BP,Fuel and Gas,50,Gas,6200.12,100,Gas,6
ULINE,General Merchandise,44,Office Expense,6200.80,80,Office Expense,1
Publix,Supermarkets and Grocery Stores,37,Meals,6800.20,51,Meals,8
Cosmetic Packaging - AutoPay,General Merchandise,37,Office Expense,6200.80,89,Compound Packaging Inventory,2
RaceTrac,Fuel and Gas,37,Gas,6200.12,97,Gas,17
Chipotle,Restaurants,34,Client Presentation,6800.10,82,Meals,3
Courtyard by Marriott,Lodging,33,Hotels,6830.20,85,Hotels,17
LinkedIn,Books and Newspapers,32,Recruiting,6200.90,100,Recruiting,2
TopRx,General Merchandise,29,Office Expense,6200.80,97,"Due From MedRock TX, LLC",1
Panera Bread,Restaurants,29,Client Presentation,6800.10,59,Meals,5
EasyPost,Shipping,28,Postage Machine - Stamps.com,1225,93,Postage Machine - Stamps.com,8
UPS,Shipping,26,Sales & Marketing - Other,6800.30,69,Sales & Marketing - Other,18
Tim Hortons,Restaurants,26,Client Presentation,6800.10,73,Meals,7
Sheetz,Fuel and Gas,26,Gas,6200.12,100,(none manual),0
Dunkin' Donuts,Restaurants,25,Client Presentation,6800.10,52,Meals,5
Gate,Fuel and Gas,24,Gas,6200.12,96,Gas,10
"Houston, TX",Fuel and Gas,23,Gas,6200.12,100,Gas,12
Target,General Merchandise,23,Sales & Marketing - Other,6800.30,52,Sales & Marketing - Other,12
Aloft,Lodging,23,Hotels,6830.20,96,Hotels,10
Southwest Airlines,Airlines,22,Airfare/Transportation,6830.05,100,Airfare/Transportation,4
Chevron,Fuel and Gas,22,Gas,6200.12,100,Gas,13
Wawa,Fuel and Gas,21,Gas,6200.12,95,Gas,9
Hampton Inn,Lodging,21,Hotels,6830.20,100,Hotels,7
MakingCosmetics Inc.,Other,18,Suspense,8220,89,Compound Ingredient Inventory,1
Hilton Hotels,Lodging,18,Hotels,6830.20,94,Hotels,3
LAZ Parking,Parking,18,Parking/Tolls,6200.13,100,Parking/Tolls,1
