phrase,qb_acctnum,gl_account,confidence,examples
labels,134,Inventory Asset:Compound Packaging Inventory,0.78,148
compatible,134,Inventory Asset:Compound Packaging Inventory,0.63,142
dymo,134,Inventory Asset:Compound Packaging Inventory,0.84,122
skin,133,Inventory Asset:Compound Ingredient Inventory,0.94,115
compatible dymo,134,Inventory Asset:Compound Packaging Inventory,0.84,106
dry,133,Inventory Asset:Compound Ingredient Inventory,0.74,85
storage,214,General & Administrative -:Office Expense,0.67,82
silicone,133,Inventory Asset:Compound Ingredient Inventory,0.63,82
scar,133,Inventory Asset:Compound Ingredient Inventory,0.89,76
rolls,134,Inventory Asset:Compound Packaging Inventory,0.68,72
usb,205,General & Administrative -:Computer Supplies & Equipment,0.76,72
eye,133,Inventory Asset:Compound Ingredient Inventory,0.81,72
powder,135,Inventory Asset:Lab Supplies Inventory,0.86,71
gloves,135,Inventory Asset:Lab Supplies Inventory,0.94,67
moisturizer,133,Inventory Asset:Compound Ingredient Inventory,0.97,66
fit,134,Inventory Asset:Compound Packaging Inventory,0.6,60
spoons,169,Cost of Goods Sold:Lab Supplies,0.6,60
medical,135,Inventory Asset:Lab Supplies Inventory,0.95,59
labelwriter,134,Inventory Asset:Compound Packaging Inventory,0.84,58
dymo labelwriter,134,Inventory Asset:Compound Packaging Inventory,0.84,58
moisturizing,133,Inventory Asset:Compound Ingredient Inventory,0.84,57
4xl,134,Inventory Asset:Compound Packaging Inventory,0.85,55
rolls labels,134,Inventory Asset:Compound Packaging Inventory,0.85,55
weighing,135,Inventory Asset:Lab Supplies Inventory,0.83,54
not,134,Inventory Asset:Compound Packaging Inventory,0.75,53
scale,135,Inventory Asset:Lab Supplies Inventory,0.64,53
roll,133,Inventory Asset:Compound Ingredient Inventory,0.65,52
body,133,Inventory Asset:Compound Ingredient Inventory,0.96,52
tags,214,General & Administrative -:Office Expense,0.92,51
lines,214,General & Administrative -:Office Expense,0.9,51
mask,135,Inventory Asset:Lab Supplies Inventory,0.69,49
exam,135,Inventory Asset:Lab Supplies Inventory,0.9,49
badges,214,General & Administrative -:Office Expense,0.94,49
custom,214,General & Administrative -:Office Expense,0.94,49
name,214,General & Administrative -:Office Expense,0.94,49
engraving,214,General & Administrative -:Office Expense,0.94,49
5xl,134,Inventory Asset:Compound Packaging Inventory,0.79,48
labelwriter 4xl,134,Inventory Asset:Compound Packaging Inventory,0.83,47
under,133,Inventory Asset:Compound Ingredient Inventory,0.7,47
betckey,134,Inventory Asset:Compound Packaging Inventory,0.83,46
betckey compatible,134,Inventory Asset:Compound Packaging Inventory,0.83,46
better,214,General & Administrative -:Office Expense,1,46
engraved,214,General & Administrative -:Office Expense,1,46
better badges,214,General & Administrative -:Office Expense,1,46
badges engraved,214,General & Administrative -:Office Expense,1,46
engraved custom,214,General & Administrative -:Office Expense,1,46
custom name,214,General & Administrative -:Office Expense,1,46
name tags,214,General & Administrative -:Office Expense,1,46
tags lines,214,General & Administrative -:Office Expense,1,46
lines engraving,214,General & Administrative -:Office Expense,1,46
not fit,134,Inventory Asset:Compound Packaging Inventory,0.82,44
fit 5xl,134,Inventory Asset:Compound Packaging Inventory,0.82,44
5xl rolls,134,Inventory Asset:Compound Packaging Inventory,0.82,44
zebra,134,Inventory Asset:Compound Packaging Inventory,0.69,42
weigh,135,Inventory Asset:Lab Supplies Inventory,0.8,41
perforated,134,Inventory Asset:Compound Packaging Inventory,0.65,40
sample,135,Inventory Asset:Lab Supplies Inventory,0.78,40
sheets,133,Inventory Asset:Compound Ingredient Inventory,0.85,40
care,133,Inventory Asset:Compound Ingredient Inventory,0.9,40
individually,134,Inventory Asset:Compound Packaging Inventory,0.6,40
exam gloves,135,Inventory Asset:Lab Supplies Inventory,0.97,40
boats,135,Inventory Asset:Lab Supplies Inventory,0.79,39
dry skin,133,Inventory Asset:Compound Ingredient Inventory,0.9,39
patches,133,Inventory Asset:Compound Ingredient Inventory,0.92,39
glass,169,Cost of Goods Sold:Lab Supplies,0.76,38
acne,133,Inventory Asset:Compound Ingredient Inventory,0.89,38
silicone scar,133,Inventory Asset:Compound Ingredient Inventory,0.89,38
case,135,Inventory Asset:Lab Supplies Inventory,0.68,38
square,135,Inventory Asset:Lab Supplies Inventory,0.73,37
under eye,133,Inventory Asset:Compound Ingredient Inventory,0.89,37
labels includes,134,Inventory Asset:Compound Packaging Inventory,0.81,36
masks,135,Inventory Asset:Lab Supplies Inventory,0.94,36
mil,135,Inventory Asset:Lab Supplies Inventory,0.69,35
dymo shipping,134,Inventory Asset:Compound Packaging Inventory,0.8,35
shipping labels,134,Inventory Asset:Compound Packaging Inventory,0.74,35
weigh boats,135,Inventory Asset:Lab Supplies Inventory,0.77,35
label,134,Inventory Asset:Compound Packaging Inventory,0.6,35
face masks,135,Inventory Asset:Lab Supplies Inventory,0.97,35
nitrile,135,Inventory Asset:Lab Supplies Inventory,0.97,35
cable,205,General & Administrative -:Computer Supplies & Equipment,0.76,34
anti,135,Inventory Asset:Lab Supplies Inventory,0.71,34
latex,135,Inventory Asset:Lab Supplies Inventory,0.94,34
bins,214,General & Administrative -:Office Expense,0.79,34
ice cream,169,Cost of Goods Sold:Lab Supplies,0.65,34
gold,133,Inventory Asset:Compound Ingredient Inventory,0.64,33
fragrance,133,Inventory Asset:Compound Ingredient Inventory,0.94,33
sterile,134,Inventory Asset:Compound Packaging Inventory,0.73,33
rollo,134,Inventory Asset:Compound Packaging Inventory,0.81,32
labels perforated,134,Inventory Asset:Compound Packaging Inventory,0.81,32
perforated compatible,134,Inventory Asset:Compound Packaging Inventory,0.81,32
4xl rollo,134,Inventory Asset:Compound Packaging Inventory,0.81,32
rollo zebra,134,Inventory Asset:Compound Packaging Inventory,0.81,32
zebra not,134,Inventory Asset:Compound Packaging Inventory,0.81,32
trays,135,Inventory Asset:Lab Supplies Inventory,0.69,32
weight,135,Inventory Asset:Lab Supplies Inventory,0.66,32
hands,133,Inventory Asset:Compound Ingredient Inventory,0.63,32
eye patches,133,Inventory Asset:Compound Ingredient Inventory,0.94,32
syringes,134,Inventory Asset:Compound Packaging Inventory,1,32
dishes,135,Inventory Asset:Lab Supplies Inventory,0.71,31
gel,133,Inventory Asset:Compound Ingredient Inventory,0.68,31
covers,135,Inventory Asset:Lab Supplies Inventory,0.87,30
cups,214,General & Administrative -:Office Expense,0.76,29
static,135,Inventory Asset:Lab Supplies Inventory,0.83,29
boat,135,Inventory Asset:Lab Supplies Inventory,0.69,29
anti static,135,Inventory Asset:Lab Supplies Inventory,0.83,29
spoon,169,Cost of Goods Sold:Lab Supplies,0.79,29
moisturizing cream,133,Inventory Asset:Compound Ingredient Inventory,0.79,29
mouse,205,General & Administrative -:Computer Supplies & Equipment,0.9,29
pairs,133,Inventory Asset:Compound Ingredient Inventory,0.72,29
epoxy,135,Inventory Asset:Lab Supplies Inventory,0.71,28
repair,133,Inventory Asset:Compound Ingredient Inventory,0.64,28
nitrile exam,135,Inventory Asset:Lab Supplies Inventory,0.96,28
dark,133,Inventory Asset:Compound Ingredient Inventory,0.75,28
shoe,135,Inventory Asset:Lab Supplies Inventory,0.93,28
pour,135,Inventory Asset:Lab Supplies Inventory,0.7,27
acid,133,Inventory Asset:Compound Ingredient Inventory,0.89,27
rough,133,Inventory Asset:Compound Ingredient Inventory,0.67,27
cooking,135,Inventory Asset:Lab Supplies Inventory,0.67,27
58d1h00,215,General & Administrative -:Office Supplies,1,27
toner,215,General & Administrative -:Office Supplies,1,27
tip,134,Inventory Asset:Compound Packaging Inventory,0.74,27
stackable,214,General & Administrative -:Office Expense,0.93,27
n95,135,Inventory Asset:Lab Supplies Inventory,1,26
organizer,214,General & Administrative -:Office Expense,0.62,26
address,134,Inventory Asset:Compound Packaging Inventory,0.88,26
